Generation, Iteration, Trial,Vl_1, Vr_1,Vl_2, Vr_2,Vl_3, Vr_3,Vl_4, Vr_4,Vl_5, Vr_5,Vl_6, Vr_6,Vl_1, Vr_1,Vl_2, Vr_2,Vl_3, Vr_3,Vl_4, Vr_4,Vl_5, Vr_5,Vl_6, Vr_6,Fitness Value
1,1,25,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,5880446642.413402557
1,1,19,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6613487631.531335831
1,1,47,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6373186316.154767036
1,1,1,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6205248136.328845024
1,1,41,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,4401106462.259203911
1,1,37,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,5204160239.468499184
1,1,16,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6078879690.501732826
1,1,28,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6105578719.012934685
1,1,34,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,6428508811.928897858
1,1,14,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,5443093752.309706688
1,1,44,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,5435839796.051436424
1,1,8,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,5438559651.586620331
1,1,5,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,5432827919.159644127
1,1,36,0.289053,-0.242183,0.304418,-0.472638,-1.57183,0.698111,0.445337,0.645887,0.385466,-0.212059,-0.317085,0.909519,1.48095,0.623838,-0.333819,-0.634156,0.86524,0.293264,-0.765779,0.870953,-0.419825,-0.201889,0.736218,0.49901,5445393878.871609688
