mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller A--------------------
-----------------------Scenario 1--------------------
-----------------------Noise Scenario 0--------------------
0,0,1,97260416480.72396851,1,1
0,0,1,74744686417.36906433,1,1
0,0,1,116354197859.9066925,1,1
0,0,1,103610800472.3898773,1,0.866667
0,0,1,272543818125.6642151,1,1
0,0,1,87270917126.47817993,1,0.9
0,0,1,96337450539.36665344,1,1
0,0,1,99940994425.67382812,1,1
0,0,1,114462625943.4066772,1,1
0,0,1,175567746087.8403015,1,0.966667
0,0,1,91881383150.56170654,1,0.966667
0,0,1,152357976015.6839294,1,1
0,0,1,96382604363.64985657,1,1
0,0,1,79400041588.78012085,1,0.966667
0,0,1,107969464573.3904266,1,1
0,0,1,102931532923.219986,1,0.933333
0,0,1,82442774223.42558289,1,1
0,0,1,80643331871.97138977,1,1
0,0,1,84371456078.33155823,1,1
0,0,1,85149765194.46261597,1,0.966667
0,0,1,93415324912.94122314,1,1
0,0,1,89726618321.4997406,1,1
0,0,1,104089707507.5779877,1,0.933333
0,0.2,1,149407827484.2068481,1,0.966667
0,0.2,1,128974648518.2355194,1,0.833333
0,0.2,1,138555002384.4264832,1,1
0,0.2,1,132299085221.119812,1,1
0,0.2,1,143561395284.5080261,1,1
0,0.2,1,141051416805.3331909,1,1
0,0.2,1,115073517496.9933472,1,1
0,0.2,1,141446488355.3143005,1,1
0,0.2,1,126478532669.0102844,1,1
0,0.2,1,172122384577.3534851,1,0.266667
0,0.2,1,148620496038.7287598,1,0.966667
0,0.2,1,151120303564.6454773,1,1
0,0.2,1,137181976354.9669495,1,0.966667
0,0.2,1,150382797995.9824219,1,1
0,0.2,1,148259404612.3120728,1,1
0,0.2,1,140239416276.8458862,1,0.933333
0,0.2,1,127587117479.5250854,1,0.733333
0,0.2,1,129588693761.9887695,1,1
0,0.2,1,125908907276.9729309,1,1
0,0.2,1,257776697203.4814148,0.633333,0.5
0,0.2,1,118053386899.1506653,1,0.933333
0,0.2,1,123922828633.0917816,1,0.966667
0,0.2,1,165227498005.2796326,1,0.866667
0,0.2,1,156744111194.3606873,1,0.933333
0,0.2,1,118277638479.0856323,1,0.966667
0,0.4,1,150604071993.7722473,1,0.866667
0,0.4,1,174750853139.7204285,1,0.933333
0,0.4,1,201090235851.5606689,1,0.9
0,0.4,1,167792696598.3202209,1,1
0,0.4,1,153623219316.3447876,1,0.9
0,0.4,1,135934460891.2467804,1,0.866667
0,0.4,1,167529207299.5021057,1,0.966667
0,0.4,1,144472656997.6518555,1,0.833333
0,0.4,1,150743859811.3749695,1,0.933333
0,0.4,1,130980705538.5172119,1,0.8
0,0.4,1,186166829636.313385,1,0.933333
0,0.4,1,180648938121.7857971,1,1
0,0.4,1,177899298332.2025452,1,0.966667
0,0.4,1,200948676039.5143433,1,0.5
