SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,
227.317,196.964,94.1072,196.081,288.495,199.011,211.398,49.9606,198.029,67.4461,23.5893,171.76,110.089,64.0355,146.72,125.869,177.187,64.891,46.6083,42.0256,17.9661,99.2265,83.2771,40.1423,281.435,164.216,
227.228,196.958,94.1831,196.071,288.305,199.01,211.43,49.9628,198.026,67.4407,23.4464,171.729,110.101,64.0331,146.676,125.868,177.174,64.8897,46.5882,42.0262,18.3255,99.2915,83.6445,40.2048,281.454,163.941,
227.158,196.953,94.1711,196.072,288.119,199.009,211.369,49.9571,198.021,67.4302,23.3594,171.709,110.114,64.0307,146.664,125.867,177.058,64.8804,46.5686,42.0268,18.6912,99.3599,84.007,40.2679,281.463,163.66,
227.252,196.958,94.2363,196.065,287.936,199.008,211.418,49.9641,198.035,67.4577,23.3181,171.698,110.127,64.0281,146.641,125.865,177.079,64.8817,46.5488,42.0275,19.0468,99.4288,84.3755,40.3337,281.462,163.372,
227.194,196.955,94.2561,196.064,287.75,199.007,211.285,49.9408,198.036,67.4593,23.2507,171.685,110.14,64.0255,146.66,125.866,177.204,64.8859,46.5297,42.0281,19.4127,99.5022,84.7315,40.3989,281.449,163.09,
227.227,196.956,94.2283,196.065,287.558,199.007,211.138,49.9143,197.999,67.3968,23.2232,171.679,110.152,64.0229,146.546,125.863,177.16,64.8854,46.5108,42.0286,19.7697,99.5758,85.0864,40.467,281.426,162.736,
227.199,196.956,94.156,196.067,287.366,199.006,211.183,49.9213,198.009,67.4138,23.3456,171.704,110.165,64.0201,146.488,125.86,177.117,64.8861,46.4921,42.0292,20.1235,99.6513,85.4495,40.5391,281.405,162.367,
227.062,196.955,94.0698,196.069,287.168,199.005,211.214,49.9254,198.027,67.4404,23.3485,171.704,110.179,64.0172,146.492,125.861,177.091,64.8861,46.4736,42.0298,20.4878,99.7306,85.8056,40.6122,281.387,162.004,
227.184,196.956,94.1035,196.068,286.971,199.003,211.174,49.9197,198.029,67.443,23.3204,171.699,110.191,64.0145,146.479,125.86,177.154,64.887,46.4299,42.0316,20.8576,99.8118,86.1703,40.6893,281.371,161.639,
227.067,196.954,94.107,196.068,286.777,199.002,211.115,49.9084,198.039,67.458,23.3969,171.713,110.203,64.0116,146.405,125.86,177.232,64.8873,46.446,42.0304,21.2197,99.8916,86.5389,40.7682,281.356,161.271,
227.13,196.956,94.0621,196.071,286.587,199.002,211.101,49.9057,198.007,67.4092,23.3375,171.704,110.217,64.0086,146.423,125.86,177.051,64.8886,46.3875,42.037,21.5767,99.9714,86.8961,40.8461,281.344,160.913,
226.952,196.951,94.1849,196.066,286.399,199.001,211.114,49.9078,198.05,67.4767,23.2783,171.696,110.229,64.0056,146.354,125.863,177.068,64.8885,46.4952,42.0233,21.9271,100.052,87.2578,40.9268,281.333,160.548,
227.031,196.953,94.0669,196.071,286.213,199,210.968,49.8889,198.092,67.543,23.208,171.685,110.243,64.0023,146.239,125.87,177.012,64.8873,46.5735,42.0133,22.2987,100.138,87.6244,41.0091,281.325,160.174,
226.956,196.95,93.9822,196.075,286.022,199,211.002,49.8928,198.141,67.6185,23.1805,171.681,110.256,63.9991,146.27,125.868,177.047,64.8885,46.6673,42.0013,22.6637,100.221,87.9783,41.0907,281.314,159.887,
226.959,196.95,93.8676,196.081,285.83,198.999,211.125,49.9047,198.057,67.4947,23.1064,171.672,110.269,63.9957,146.227,125.87,176.99,64.887,46.5967,42.0116,23.0235,100.303,88.3374,41.1757,281.292,159.606,
