mode,Noise Level,Noise Scenario, Fit Val, max SR, SR
-----------------------Controller --------------------,,,,,
-----------------------Scenario 1--------------------,,,,,
-----------------------Noise Scenario 2--------------------,,,,,
3,0.2,3,618267728837.588,1,0.833333
3,0.4,3,652190947861.35,0.966667,0.766667
3,0.4,3,643910628445.742,0.966667,0.866667
3,0.4,3,646983661484.856,1,0.9
3,0.4,3,629529251265.896,0.966667,0.766667
3,0.4,3,579167526021.824,0.966667,0.866667
3,0.4,3,505349651774.478,1,0.766667
3,0.4,3,713010529154.824,0.966667,0.933333
3,0.4,3,775560085164.569,1,0.833333
3,0.4,3,556236713266.589,1,1
3,0.4,3,650922321174.213,1,0.333333
3,0.4,3,1016909532453.98,0.966667,0.866667
3,0.4,3,839185882807.973,0.966667,0.866667
3,0.4,3,465327221161.584,1,0.9
3,0.4,3,519249209624.386,0.966667,0.933333
3,0.4,3,779682181289.629,0.966667,0.566667
3,0.4,3,441168995571.012,1,0.866667
3,0.4,3,831893431589.24,1,0.833333
3,0.4,3,392947086289.536,1,0.9
3,0.4,3,627055089262.57,0.966667,0.8
3,0.4,3,532542510845.505,0.966667,0.5
3,0.4,3,641828060595.512,1,0.466667
3,0.4,3,545069942427.722,1,0.9
3,0.4,3,497967427986.808,1,0.833333
3,0.4,3,570564882463.504,0.966667,0.866667
3,0.4,3,428889152425.514,0.966667,0.8
3,0.6,3,798277715281.628,0.966667,0.633333
3,0.6,3,676497252610.035,0.966667,0.833333
3,0.6,3,965783940466.499,0.933333,0.866667
3,0.6,3,735775112054.749,1,0.833333
3,0.6,3,531222499767.501,0.966667,0.9
3,0.6,3,857683499390.224,1,0.2
3,0.6,3,424361696619.376,0.966667,0.966667
3,0.6,3,880552856497.747,0.933333,0.9
3,0.6,3,813599427962.694,0.933333,0.366667
3,0.6,3,631411465391.615,1,0.833333
3,0.6,3,947190579366.252,1,0.833333
3,0.6,3,825049797784.454,0.966667,0.933333
3,0.6,3,349278433997.051,1,0.833333
3,0.6,3,822731896092.589,0.966667,0.0333333
3,0.6,3,1171306650272.75,0.9,0.833333
3,0.6,3,825256723604.081,0.966667,0.933333
3,0.6,3,647772989881.586,1,0.9
3,0.6,3,607695601798.084,0.966667,0.9
3,0.6,3,908588893017.024,0.966667,0.9
3,0.6,3,1282755258014.65,0.966667,0.866667
3,0.6,3,928938290817.37,1,0.9
3,0.6,3,652407302372.758,0.966667,0.7
3,0.6,3,759468419159.569,0.966667,0.9
3,0.6,3,929353037900.146,0.966667,0.866667
3,0.6,3,679005520754.416,1,0.9
3,0.8,3,956805873800.545,1,0.166667
3,0.8,3,4423774103417.43,0.966667,0.9
3,0.8,3,1662974622459.2,0.966667,0.866667
3,0.8,3,1602801950278.77,0.966667,0.9
3,0.8,3,1020231273153.23,1,0.233333
3,0.8,3,2004827491753.37,0.966667,0.5
3,0.8,3,1478672311700.28,0.933333,0.9
3,0.8,3,1094838051530.07,0.966667,0.6
3,0.8,3,531984850483.802,1,0.866667
3,0.8,3,1067599254581.15,1,0.8
3,0.8,3,1742215000711.09,0.966667,0.833333
3,0.8,3,1410821662080.95,1,0.733333
3,0.8,3,1075638712371.72,0.966667,0.4
3,0.8,3,1652939971675.17,1,0.366667
3,0.8,3,803788866638.289,0.966667,0.866667
3,0.8,3,847498249496.955,1,0.633333
