Generation, Iteration, Trial, Fitness Value
1,12,26,2.99478e+06
1,3,26,4.07359e+06
1,6,26,1.82274e+06
1,11,26,3.47018e+06
1,9,26,3.12921e+06
1,5,26,3.46532e+06
1,2,26,879838
1,4,26,4.17372e+06
1,10,26,1.96963e+06
1,1,27,2.721e+06
1,8,27,3.00724e+06
1,7,27,3.52714e+06
1,12,27,2.1474e+06
1,3,27,4.10357e+06
1,9,27,3.27758e+06
1,6,27,2.98854e+06
1,11,27,2.3973e+06
1,5,27,2.24215e+06
1,2,27,2.14778e+06
1,4,27,3.75846e+06
1,10,27,2.51273e+06
1,1,28,3.38245e+06
1,8,28,3.47201e+06
1,7,28,3.44735e+06
1,12,28,2.38265e+06
1,3,28,3.52317e+06
1,9,28,4.06361e+06
1,6,28,3.89154e+06
1,5,28,3.72024e+06
1,2,28,2.38681e+06
1,11,28,1.19116e+06
1,10,28,3.03891e+06
1,4,28,1.63682e+06
1,1,29,2.89371e+06
1,8,29,3.58007e+06
1,7,29,4.56186e+06
1,12,29,3.4424e+06
1,3,29,3.56561e+06
1,5,29,4.22327e+06
1,9,29,2.68528e+06
1,6,29,1.69136e+06
1,2,29,3.2555e+06
1,11,29,3.01152e+06
1,10,29,4.17843e+06
1,4,29,2.70303e+06
1,1,30,3.73661e+06
1,8,30,4.99094e+06
1,7,30,4.48675e+06
1,12,30,3.0405e+06
1,3,30,1.36902e+06
1,5,30,4.92279e+06
1,6,30,3.64225e+06
1,9,30,3.3071e+06
1,2,30,1.96381e+06
1,11,30,3.35661e+06
1,10,30,2.61664e+06
1,4,30,3.12569e+06
1,1,31,3.49771e+06
1,8,31,2.77148e+06
1,7,31,3.18474e+06
1,12,31,3.4319e+06
1,3,31,4.26278e+06
1,5,31,2.53697e+06
1,6,31,2.13263e+06
1,9,31,1.96071e+06
1,2,31,4.48814e+06
1,11,31,3.71307e+06
1,10,31,3.73095e+06
1,4,31,2.76159e+06
1,1,32,3.74799e+06
1,8,32,3.28726e+06
1,7,32,2.55801e+06
1,12,32,2.31785e+06
1,3,32,4.31618e+06
1,6,32,3.63536e+06
1,5,32,2.01321e+06
1,9,32,2.03443e+06
1,2,32,1.95798e+06
1,10,32,3.28028e+06
1,11,32,2.15163e+06
1,4,32,2.03388e+06
1,1,33,2.53722e+06
1,8,33,2.05625e+06
1,7,33,2.26765e+06
1,12,33,4.6921e+06
1,2,33,-nan
1,3,33,3.17462e+06
1,5,33,4.1431e+06
1,6,33,1.90708e+06
1,9,33,2.51503e+06
1,10,33,1.83913e+06
1,11,33,1.56849e+06
1,4,33,4.88021e+06
1,1,34,3.44705e+06
1,8,34,4.68413e+06
1,7,34,1.63261e+06
1,12,34,3.35971e+06
1,3,34,2.17374e+06
1,2,34,2.2317e+06
1,5,34,4.27255e+06
1,6,34,3.9899e+06
1,9,34,3.68359e+06
1,10,34,4.60748e+06
1,11,34,2.66921e+06
1,4,34,1.70105e+06
1,1,35,3.52993e+06
1,8,35,4.68773e+06
1,7,35,3.70844e+06
1,12,35,1.53749e+06
1,3,35,1.37408e+06
1,5,35,3.72337e+06
1,2,35,2.50515e+06
1,6,35,4.30152e+06
1,9,35,2.89602e+06
1,10,35,2.98047e+06
1,11,35,3.42484e+06
1,4,35,4.03651e+06
1,1,36,2.94959e+06
1,8,36,2.90873e+06
1,7,36,4.17121e+06
1,12,36,2.05954e+06
1,2,36,3.49743e+06
1,5,36,2.43487e+06
1,3,36,3.16015e+06
1,6,36,2.24777e+06
1,9,36,3.75958e+06
1,10,36,3.41774e+06
1,11,36,2.74529e+06
1,4,36,2.48235e+06
1,1,37,3.05505e+06
1,8,37,2.18474e+06
1,7,37,4.2057e+06
1,12,37,2.72901e+06
1,2,37,2.74983e+06
1,5,37,3.31256e+06
1,6,37,1.81972e+06
1,3,37,1.94471e+06
1,9,37,2.24553e+06
1,10,37,2.32127e+06
1,11,37,2.06327e+06
1,4,37,3.86688e+06
1,1,38,3.73206e+06
1,8,38,1.47564e+06
1,7,38,1.84248e+06
1,12,38,3.82211e+06
1,2,38,3.20491e+06
1,5,38,2.00352e+06
1,6,38,1.64778e+06
1,9,38,3.8226e+06
1,10,38,3.14886e+06
1,3,38,2.96092e+06
1,11,38,3.6437e+06
1,4,38,1.43814e+06
1,1,39,4.45207e+06
1,8,39,3.85776e+06
1,7,39,2.95162e+06
1,12,39,4.24095e+06
1,2,39,3.60941e+06
1,6,39,2.78457e+06
1,5,39,2.3382e+06
1,9,39,4.76768e+06
1,3,39,3.15564e+06
1,10,39,1.90218e+06
1,11,39,2.61376e+06
1,4,39,3.7458e+06
1,1,40,2.24093e+06
1,8,40,3.09713e+06
1,7,40,3.61921e+06
1,2,40,2.68434e+06
1,12,40,3.74689e+06
1,5,40,3.35329e+06
1,6,40,3.87789e+06
1,9,40,2.93967e+06
1,3,40,4.01109e+06
1,10,40,1.55459e+06
1,11,40,3.68797e+06
1,4,40,3.38938e+06
1,1,41,2.64743e+06
1,8,41,3.54336e+06
1,7,41,2.75405e+06
1,12,41,3.76783e+06
1,2,41,2.38987e+06
1,5,41,4.18057e+06
1,6,41,1.97091e+06
1,9,41,4.14156e+06
1,3,41,3.54097e+06
1,10,41,2.98813e+06
1,11,41,3.1178e+06
1,4,41,2.66887e+06
1,1,42,1.45166e+06
1,7,42,3.87158e+06
1,8,42,645145
1,9,42,nan
1,12,42,3.14687e+06
1,2,42,2.91714e+06
1,5,42,3.27184e+06
1,6,42,4.90646e+06
1,3,42,3.20278e+06
1,10,42,2.99475e+06
1,11,42,3.27903e+06
1,4,42,2.6922e+06
1,1,43,1.67618e+06
1,7,43,3.76767e+06
1,8,43,2.80227e+06
1,9,43,2.14768e+06
1,12,43,4.39321e+06
1,2,43,2.62195e+06
1,5,43,3.59075e+06
1,6,43,3.09309e+06
1,3,43,3.63614e+06
1,10,43,4.16331e+06
