SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,SheepX,SheepY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,ShepherdX,ShepherdY,
54.4185,149.858,164.762,15.4234,171.675,20.7327,211.854,61.3412,67.5988,79.475,63.5796,86.0235,198.488,101.18,101.306,137.666,10.7014,107.956,250.162,22.7276,180.21,193.1,48.9752,99.69,68.1675,141.975,72.3582,73.8086,120.457,191.944,
54.3502,149.982,164.86,15.593,171.808,20.8679,211.804,61.3726,67.4535,79.5309,63.4928,86.0876,198.428,101.185,101.27,137.658,10.8681,108.051,250.213,22.9151,179.936,193.304,48.9405,100.03,68.2353,142.306,72.1138,73.7826,120.588,192.305,
54.2833,150.097,164.957,15.7596,171.943,21.0055,211.752,61.4048,67.3195,79.5971,63.4082,86.1477,198.368,101.189,101.234,137.651,11.0308,108.142,250.265,23.1045,179.635,193.53,48.9107,100.371,68.3103,142.642,71.8654,73.758,120.719,192.666,
54.2095,150.218,165.054,15.9286,172.074,21.1389,211.702,61.4364,67.1991,79.6742,63.32,86.208,198.309,101.193,101.198,137.644,11.1927,108.233,250.315,23.2875,179.333,193.757,48.887,100.706,68.3888,142.973,71.6143,73.7356,120.849,193.024,
54.1366,150.332,165.15,16.0951,172.208,21.2763,211.65,61.4688,67.1004,79.7648,63.2321,86.2659,198.248,101.198,101.16,137.636,11.3585,108.326,250.365,23.4678,179.03,193.986,48.8685,101.046,68.4735,143.312,71.3642,73.7166,120.979,193.38,
54.0605,150.445,165.246,16.2618,172.344,21.4143,211.598,61.501,67.0272,79.8714,63.143,86.3225,198.188,101.202,101.125,137.629,11.5266,108.421,250.415,23.6499,178.725,194.217,48.8546,101.388,68.5592,143.636,71.1149,73.7029,121.109,193.735,
53.9823,150.557,165.344,16.431,172.478,21.5507,211.548,61.5323,66.9575,79.9786,63.0513,86.3787,198.129,101.207,101.089,137.622,11.6984,108.518,250.466,23.8369,178.424,194.446,48.8429,101.559,68.6539,143.971,70.8627,73.693,121.241,194.095,
53.8988,150.671,165.437,16.5919,172.618,21.6934,211.497,61.5638,66.9065,80.0999,62.9579,86.4336,198.07,101.211,101.051,137.614,11.8721,108.617,250.517,24.0245,178.131,194.669,48.816,101.729,68.7521,144.301,70.6072,73.6917,121.373,194.456,
53.8165,150.779,165.531,16.7553,172.75,21.8268,211.446,61.5957,66.8656,80.2303,62.8655,86.4857,198.01,101.216,101.014,137.607,12.0372,108.711,250.567,24.2076,177.829,194.899,48.7479,102.07,68.8561,144.633,70.342,73.6977,121.503,194.81,
53.7311,150.886,165.627,16.9225,172.881,21.9608,211.396,61.6272,66.8409,80.3728,62.7728,86.5358,197.947,101.22,100.978,137.599,12.204,108.805,250.617,24.3916,177.525,195.131,48.6867,102.409,68.9626,144.956,70.0715,73.7152,121.636,195.17,
